# rmse: 0.00180 eV/at,    mae: 0.00126 eV/at
#  True Energy           Predicted Energy
-114.94427965216016218619  -114.93997240635620471494
-115.11741331534265952996  -115.11650640841992299102
-115.07438896637671632561  -115.07417609236829036945
-115.06226536955514916372  -115.06214041118944635400
-115.06660491454296391112  -115.06795298237358338156
-114.94329085470968720983  -114.94559348715405633357
-115.03747968988218985942  -115.03736907233766828540
-115.05763950794937500177  -115.05796734726452257291
-115.01505349283499413104  -115.01739208943433823151
-115.13925265762172500672  -115.13859812390472825427
