# rmse: 0.00174 eV/at,    mae: 0.00122 eV/at
#  True Energy           Predicted Energy
-114.94427965216016218619  -114.94097895984162960303
-115.11741331534265952996  -115.11712296056252569088
-115.07438896637671632561  -115.07407894772580903009
-115.06226536955514916372  -115.06145215064385922688
-115.06660491454296391112  -115.06766423361038675921
-114.94329085470968720983  -114.94722060052802703467
-115.03747968988218985942  -115.03669312097552790419
-115.05763950794937500177  -115.05755898225565658777
-115.01505349283499413104  -115.01614057709203109425
-115.13925265762172500672  -115.13875788773367503381
